,Codigo,Nombre,Departamento,Municipio
0,52057100,RUMICHACA ,Nariño,Ipiales
1,52055170,LA JOSEFINA ,Nariño,Contadero
2,52055220,EL PARAISO ,Nariño,Tuquerres
3,44015070,EL PEPINO ,Putumayo,Mocoa
4,48015040,PUERTO NARINO ,Amazonas,Puerto Narino
5,44135020,CAHUINARI ,Amazonas,Santander
6,44135030,CHIRIBIQUETE ,Caquetá,Solano
7,52055150,CERRO PARAMO  ,Nariño,Puerres
8,44037040,EL ROSARIO ,Caquetá,Florencia
9,52077020,LOS NORTES ,Nariño,Cumbitara
10,51039010,TUMACO ,Nariño,Tumaco
11,21017050,PITALITO 2 ,Huila,Pitalito
12,51025060,BIOTOPO ,Nariño,Barbacoas
13,51025090,GRANJA EL MIRA ,Nariño,Tumaco
14,52077010,PUENTE PUSMEO ,Nariño,Cumbitara
15,51027060,SAN JUAN MIRA ,Nariño,Tumaco
16,44037060,FLORENCIA,Caquetá,Florencia
17,51020011,Piedrancha ,Nariño,Mallama
18,44015060,ACUEDUCTO MOCOA ,Putumayo,Mocoa
19,52055210,BOTANA ,Nariño,Pasto
20,51025070,RICAURTE ,Nariño,Ricaurte
21,26015030,PNN PURACE ,Cauca,Purace
22,52035040,VIENTO LIBRE ,Nariño,Taminango
23,26015010,EL TABLAZO ,Cauca,Popayan
24,21017020,SAN AGUSTIN ,Huila,San Agustin
25,21015050,PURACE  ,Huila,San Agustin
26,21015040,LA PRIMAVERA ,Huila,Saladoblanco
27,52015050,BALBOA ,Cauca,Balboa
28,52025090,LA SIERRA ,Cauca,La Sierra
29,21015060,MARENGO  ,Huila,Pitalito
30,46015030,SAN VICENTE DEL CAGUAN  ,Caquetá,San Vicente Del Caguan
31,21047010,PUENTE BALSEADERO [21047010],Huila,Agrado
32,53075020,EL DIVISO ,Cauca,Argelia
33,26035090,LA LAGUNA DE CAJIBIO [26035090],Cauca,Cajibio
34,21057100,TALAGA TOEZ ,Cauca,Paez
35,52045080,UNIVERSIDAD DE NARINO  ,Nariño,Pasto
36,21115170,LA PLATA ,Huila,Neiva
37,21097070,PUENTE SANTANDER [21097070],Huila,Neiva
38,57025020,GORGONA GUAPI [57025020],Cauca,Guapi
39,22025040,EL DIABLO ,Cauca,Paez
40,53077010,ANGOSTURA RIO MICAY [53077010],Cauca,Lopez
41,21117100,PUEBLO NUEVO ,Huila,Neiva
42,48017050,BOCATOMA YAGUARCACA [48017050],Amazonas,Leticia
43,25027980,UNION LA [25027980],Bolívar,Pinillos
44,25027640,TRES CRUCES [25027640],Bolívar,Achi
45,25020030,GUACAMAYO [25020030],Bolívar,Achi
46,25028210,CNO VIDE [25028210],Bolívar,Pinillos
47,25027400,ALTO DEL ROSARIO [25027400],Bolívar,Altos Del Rosario
48,25028220,NO TE PASES HACIENDA [25028220],Bolívar,Pinillos
49,25028230,PUERTO CARMEN [25028230],Bolívar,Pinillos
50,25027390,PALOMAS LAS [25027390],Bolívar,Altos Del Rosario
51,25028240,NUEVO HORIZONTE [25028240],Bolívar,Pinillos
52,25027990,CONTENTO EL [25027990],Bolívar,Pinillos
53,25028410,MANTEQUERA [25028410],Bolívar,Pinillos
54,25020410,CANDELARIA LA [25020410],Bolívar,San Jacinto Del Cauca
55,25027280,CANDELARIA LA [25027280],Bolívar,San Jacinto Del Cauca
56,25028350,MANCHA LA [25028350],Bolívar,San Jacinto Del Cauca
57,13090030,BERRUGAS [13090030],Sucre,San Onofre
58,25027880,GALINDO [25027880],Bolívar,San Jacinto Del Cauca
59,25025230,MONTECRISANTO [25025230],Bolívar,Montecristo
60,25020450,MONTECRISANTO [25020440],Bolívar,Montecristo
61,48017010,LETICIA [48017010],Amazonas,Leticia
62,25020800,BUENAVISTA [25020800],Bolívar,Achi
63,24035380,NEVADO DEL COCUY ,Boyacá,Guican
64,24037001,"LA PLAYA, CARDENILLO [24037001]",Boyacá,Guican
65,21057030,PUENTE RICAURTE ,Cauca,Paez
66,21055070,INZA ,Cauca,Inza
67,53045040,AEROPUERTO GUAPI ,Cauca,Guapi
68,21087080,HACIENDA VENECIA ,Huila,Yaguara
69,21115180,HACIENDA MANILA ,Huila,Baraya
70,26075120,LA DIANA ,Valle del Cauca,Florida
71,26055100,FARALLONES ,Valle del Cauca,Cali
